Module,Fonction/Hook,Rôle,Dépendances Clés,Couplage,Complexité Approx,Tests Présents,Notes
src/hooks/useAriaAnnouncer.ts,useAriaAnnouncer,Accessibilité ARIA live regions,N/A,Faible,Faible,Non,Support screen readers
src/hooks/useFocusTrap.ts,useFocusTrap,Trap focus dans modals (accessibilité),N/A,Faible,Faible,Non,WCAG 2.1 AA
src/lib/firebase.ts,initializeApp + services,"Init Firebase (auth, db, storage, messaging)",firebase SDK,CRITIQUE,Faible,Non,"Validation config obligatoire, SSR-safe"
src/lib/dateUtils.ts,timestampToDateString,Conversion Timestamp → String ISO,date-fns,Faible,Faible,Oui (Vitest 25.8%),"CRITIQUE: utilisé pour graphiques, bug si mauvais format"
src/lib/validation.ts,Zod schemas,Validation données Firestore,zod,Faible,Moyenne,Oui (Vitest 93.18%),"21 schemas, 100+ règles"
src/lib/userCalculations.ts,"calculateBMR, calculateTDEE, calculateIMC",Formules fitness (Harris-Benedict),N/A,Faible,Faible,Non,Calculs métabolisme
src/lib/challenges.ts,50 challenges definitions,Définitions challenges statiques,N/A,Faible,Faible,Non,"Types: nutrition, training, consistency, exploration"
src/lib/challengeTracking/*,Tracking automatique challenges,"Firestore, calculations",Moyen,Élevée,Oui (Vitest 97.89%),6 fichiers modulaires
src/lib/badges.ts,Système de badges,Badges achievements gamification,N/A,Faible,Faible,Non,Unlock automatique
src/lib/logger.ts,Logger custom,Logs structurés + Sentry,@sentry/nextjs,Faible,Moyenne,Non,"Remplace 306 console.log, singleton"
src/lib/firebase-errors.ts,translateFirebaseError,Traduction erreurs Firebase FR,N/A,Faible,Faible,Non,40+ codes erreurs
src/lib/openfoodfacts.ts,searchFood,Client API Open Food Facts,fetch,Faible,Moyenne,Non,"Rate limit 100 req/min, 2M aliments"
src/lib/nutritional-database.ts,500+ aliments,Base données nutritionnelle locale,N/A,Faible,Faible,Non,Fallback si OFF API down
src/lib/garminParser.ts,parseGarminFile,Parser TCX/GPX Garmin,xml2js,Moyen,Élevée,Non,"Extraction GPS, HR, zones, cadence"
src/lib/chartDataTransformers.ts,Transformers données graphiques,Formatage données Recharts,"timestampToDateString, date-fns",Moyen,Moyenne,Non,"CRITIQUE: dépend de timestampToDateString"
src/lib/caloriesCalculator.ts,calculateCaloriesBurned,Calcul dépense calorique (MET),N/A,Faible,Faible,Non,Formules MET standards
src/lib/coachComments.ts,CRUD commentaires coach,Commentaires coach par module,Firestore,Faible,Faible,Non,"4 modules: diete, entrainements, journal, mesures"
src/lib/inviteUtils.ts,generateInviteCode,Génération codes invitation,crypto,Faible,Faible,Non,Codes 8 caractères alphanumériques
src/lib/utils.ts,Utilitaires divers,"cn (classNames), formatters",clsx,Faible,Faible,Non,Helpers UI
src/lib/vitals.ts,reportWebVitals,Web Vitals monitoring,web-vitals,Faible,Faible,Non,"CLS, FCP, FID, LCP, TTFB"
src/components/auth/AuthGuard.tsx,AuthGuard,Protection routes authentifiées,"useAuth, router",Moyen,Moyenne,Non (CRITIQUE),"0% tests, composant CRITIQUE pour sécurité!"
src/components/mobile/QuickMealModal.tsx,QuickMealModal,Ajout repas rapide (<30s),useFirestore,Moyen,Moyenne,Non,Template repas fréquents
src/components/mobile/QuickTrainingModal.tsx,QuickTrainingModal,Ajout training rapide (<45s),useFirestore,Moyen,Moyenne,Non,Templates cardio/muscu
src/components/ui/StandardModal.tsx,StandardModal,Modal standardisée réutilisable,"useFocusTrap, useAriaAnnouncer",Faible,Faible,Non,"Border white/70, glass effect"
src/components/ui/ProgressHeader.tsx,ProgressHeader,Header métriques + période + conseils,N/A,Faible,Faible,Non,"Composant universel, 5/5 pages standardisées"
src/components/ui/ClickableCard.tsx,ClickableCard,Card avec actions séparées,N/A,Faible,Faible,Non,"Voir/Éditer/Supprimer, variants couleur"
src/components/ui/HealthIndicator.tsx,HealthIndicator,Zones santé OMS (IMC),N/A,Faible,Faible,Non,"Sous-poids, normal, surpoids, obésité"
src/components/charts/*,6 composants graphiques,"LineChart, BarChart, AreaChart",recharts,Faible,Moyenne,Non,"Dynamic imports, responsive mobile"
src/lib/security/RateLimiter.ts,RateLimiterFactory,Rate limiting middleware,Map (in-memory),Faible,Moyenne,Non,"100 req/h API, 20 créations/h auth"
